by,descendants,id,kids,score,time,title,type,url,text
dsego,64.0,40272577,"[40278841, 40277453, 40279437, 40276994, 40279884, 40279848, 40279602, 40284411, 40282473, 40282786, 40280387, 40280384, 40283796, 40274670, 40279253, 40279033, 40277161, 40281114, 40284502, 40282009, 40281962, 40279146, 40279074, 40282308]",216,1714985428,World Food Atlas: Discover local dishes and ingredients,story,https://www.tasteatlas.com/map,
omgwtfusb,11.0,40273180,[40279483],77,1714992648,Color Concepts 101 (2001) [pdf],story,https://developers.hp.com/system/files/Color_Concepts_101_0.pdf,
randycupertino,5.0,40293583,"[40293591, 40293956, 40293694]",4,1715132985,Google will exit prominent S.F. waterfront office tower,story,https://www.sfchronicle.com/realestate/article/google-exits-sf-office-tower-19445098.php,
benfreu,19.0,40290169,"[40290842, 40291523, 40291353, 40294446, 40290951, 40290839, 40291684]",20,1715108886,Never* use Git pull [video],story,https://www.youtube.com/watch?v=xN1-2p06Urc,
SenHeng,32.0,40284162,"[40286943, 40291460, 40287409, 40293203, 40284379, 40286736, 40287756, 40286143]",87,1715079500,The greatest resume I've ever seen,story,https://newsletter.goodtechthings.com/p/the-greatest-resume-ive-ever-seen,
salemh,8.0,40292604,"[40293383, 40294027, 40293999, 40293723, 40294029]",12,1715123716,Unscientific American – Science journalism surrenders to progressive ideology,story,https://www.city-journal.org/article/unscientific-american,
bookofjoe,9.0,40276399,"[40279666, 40281756]",60,1715012649,Quantum gravity gets a new test,story,https://physics.aps.org/articles/v17/65,
Bgach,8.0,40283972,"[40285981, 40284289, 40293146, 40285919, 40292151, 40287212, 40285746]",11,1715076988,Show HN: I made a text to website generator powered by gpt4 and tailwind,story,https://www.instawebai.com,"Hello HN!
A few weeks ago I tried looking for a way to quickly create business sites without spending hours designing or using generic templates. AI seemed to be the answer. After trying multiple AI builders I couldn&#x27;t find one that was easy to use and didn&#x27;t use templates. I wanted something truly dynamic a tool that can create a website for anything fully AI driven design decisions based on my description. So I created one. A truly dynamic AI web builder.(Powered by GPT4 with styling done in tailwind css). Try it out here <a href=""https:&#x2F;&#x2F;www.instawebai.com"" rel=""nofollow"">https:&#x2F;&#x2F;www.instawebai.com</a>"
prismatic,4.0,40262289,"[40282589, 40264875, 40283293, 40282619]",38,1714883984,Frank Stella has died,story,https://www.nytimes.com/2024/05/04/arts/frank-stella-dead.html,
peutetre,3.0,40293403,"[40294045, 40293779, 40293953]",5,1715131341,Putting a Wet Towel on a Tesla Supercharger Handle Gets Faster Charging Speeds,story,https://insideevs.com/news/718718/tesla-supercharger-wet-towel-improve-charging-speed/,
AshleysBrain,55.0,40284147,"[40284526, 40290508, 40284974, 40289604, 40285579, 40287182, 40285595, 40284567, 40285556, 40284667, 40285089, 40284964, 40285347, 40284891, 40284431]",192,1715079297,Caniwebview.com – Like Caniuse but for Webviews,story,https://caniwebview.com/,
wrongbaud,41.0,40274777,"[40283262, 40283136, 40275365, 40275394]",212,1715003982,PiFex: JTAG Hacking with a Raspberry Pi,story,https://voidstarsec.com/blog/jtag-pifex,
